chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-01-04,1,All I Want For Christmas Is You,Mariah Carey,1,1,71
2025-01-04,2,Rockin' Around The Christmas Tree,Brenda Lee,2,1,64
2025-01-04,3,Last Christmas,Wham!,3,3,45
2025-01-04,4,Jingle Bell Rock,Bobby Helms,4,3,61
2025-01-04,5,Santa Tell Me,Ariana Grande,9,5,29
2025-01-04,6,A Holly Jolly Christmas,Burl Ives,5,4,45
2025-01-04,7,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,45
2025-01-04,8,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,8,7,36
2025-01-04,9,Underneath The Tree,Kelly Clarkson,10,9,32
2025-01-04,10,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",14,9,49
2025-01-04,11,Feliz Navidad,Jose Feliciano,16,6,37
2025-01-04,12,It's Beginning To Look A Lot Like Christmas,Michael Buble,15,12,24
2025-01-04,13,Sleigh Ride,The Ronettes,17,8,33
2025-01-04,14,Run Rudolph Run,Chuck Berry,21,10,26
2025-01-04,15,Christmas (Baby Please Come Home),Darlene Love,23,15,26
2025-01-04,16,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,24,12,27
2025-01-04,17,Die With A Smile,Lady Gaga & Bruno Mars,6,2,19
2025-01-04,18,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,27,16,18
2025-01-04,19,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,28,12,39
2025-01-04,20,Deck The Halls,Nat King Cole,31,16,17
2025-01-04,21,Blue Christmas,Elvis Presley,36,18,16
2025-01-04,22,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,37,20,12
2025-01-04,23,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,35,21,24
2025-01-04,24,A Bar Song (Tipsy),Shaboozey,13,1,37
2025-01-04,25,Little Saint Nick,The Beach Boys,43,25,11
2025-01-04,26,Wonderful Christmastime,Paul McCartney,39,26,16
2025-01-04,27,Luther,Kendrick Lamar & SZA,11,3,5
2025-01-04,28,Birds Of A Feather,Billie Eilish,18,2,32
2025-01-04,29,Please Come Home For Christmas,Eagles,49,18,17
2025-01-04,30,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,48,16,29
2025-01-04,31,Christmastime Is Here,Vince Guaraldi Trio,46,31,7
2025-01-04,32,TV Off,Kendrick Lamar Featuring Lefty Gunplay,12,2,5
2025-01-04,33,That's So True,Gracie Abrams,19,6,10
2025-01-04,34,APT.,ROSE & Bruno Mars,22,8,10
2025-01-04,35,This Christmas,Donny Hathaway,0,34,6
2025-01-04,36,Baby It's Cold Outside,Dean Martin,0,36,2
2025-01-04,37,Holly Jolly Christmas,Michael Buble,0,37,1
2025-01-04,38,Merry Christmas,Ed Sheeran & Elton John,0,38,8
2025-01-04,39,Like It's Christmas,Jonas Brothers,50,39,9
2025-01-04,40,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,0,31,13
2025-01-04,41,Taste,Sabrina Carpenter,26,2,18
2025-01-04,42,Mistletoe,Justin Bieber,0,11,14
2025-01-04,43,Snowman,Sia,0,43,1
2025-01-04,44,Squabble Up,Kendrick Lamar,20,1,5
2025-01-04,45,30 For 30,SZA With Kendrick Lamar,0,45,1
2025-01-04,46,Espresso,Sabrina Carpenter,30,3,37
2025-01-04,47,I Had Some Help,Post Malone Featuring Morgan Wallen,29,1,33
2025-01-04,48,Winter Wonderland,Darlene Love,0,48,1
2025-01-04,49,Happy Holiday / The Holiday Season,Andy Williams,0,18,21
2025-01-04,50,You Make It Feel Like Christmas,Gwen Stefani Featuring Blake Shelton,0,50,1
2025-01-04,51,Timeless,The Weeknd & Playboi Carti,32,3,13
2025-01-04,52,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",34,10,9
2025-01-04,53,Love Somebody,Morgan Wallen,38,1,10
2025-01-04,54,Whatchu Kno About Me,GloRilla & Sexyy Red,45,17,11
2025-01-04,55,BMF,SZA,0,55,1
2025-01-04,56,Christmas Magic,Laufey,67,56,4
2025-01-04,57,High Road,Koe Wetzel & Jessie Murph,51,22,29
2025-01-04,58,Sailor Song,Gigi Perez,52,22,19
2025-01-04,59,Drive,SZA,0,59,1
2025-01-04,60,Bed Chem,Sabrina Carpenter,55,14,18
2025-01-04,61,Messy,Lola Young,54,54,4
2025-01-04,62,Diamond Boy (DTM),SZA,0,62,1
2025-01-04,63,Scorsese Baby Daddy,SZA,0,63,1
2025-01-04,64,What Do I Do,SZA,0,64,1
2025-01-04,65,Wind Up Missin' You,Tucker Wetmore,58,40,39
2025-01-04,66,Like Him,"Tyler, The Creator Featuring Lola Young",56,29,9
2025-01-04,67,Pink Pony Club,Chappell Roan,62,26,28
2025-01-04,68,Tu Boda,Oscar Maydon & Fuerza Regida,61,22,10
2025-01-04,69,No More Hiding,SZA,0,69,1
2025-01-04,70,Crybaby,SZA,0,70,1
2025-01-04,71,Kitchen,SZA,0,71,1
2025-01-04,72,I Never Lie,Zach Top,66,58,14
2025-01-04,73,Another Life,SZA,0,73,1
2025-01-04,74,No One Noticed,The Marias,64,22,13
2025-01-04,75,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,59,44,5
2025-01-04,76,It's Ok I'm Ok,Tate McRae,68,20,15
2025-01-04,77,Indigo,Sam Barber Featuring Avery Anna,65,65,3
2025-01-04,78,Run Rudolph Run,Mark Ambor,0,78,1
2025-01-04,79,Love Me 4 Me,SZA,0,79,1
2025-01-04,80,Chill Baby,SZA,0,80,1
2025-01-04,81,My Turn,SZA,0,81,1
2025-01-04,82,Hey Now,Kendrick Lamar Featuring Dody6,60,5,5
2025-01-04,83,Que Pasaria...,Rauw Alejandro & Bad Bunny,69,34,6
2025-01-04,84,Liar,Jelly Roll,74,62,13
2025-01-04,85,Residuals,Chris Brown,82,59,17
2025-01-04,86,Help Me,Real Boston Richey,79,47,23
2025-01-04,87,I'm Gonna Love You,Cody Johnson & Carrie Underwood,76,42,13
2025-01-04,88,Holiday Road,Kesha,0,88,1
2025-01-04,89,Santa Baby,Laufey,0,89,1
2025-01-04,90,Wacced Out Murals,Kendrick Lamar,63,4,5
2025-01-04,91,Dancing In The Flames,The Weeknd,81,14,15
2025-01-04,92,Empty Out Your Pockets,Juice WRLD,72,56,4
2025-01-04,93,Heart Of A Woman,Summer Walker,83,57,9
2025-01-04,94,4x4xU,Lainey Wilson,75,75,7
2025-01-04,95,Good News,Shaboozey,77,71,5
2025-01-04,96,Dos Dias,Tito Double P & Peso Pluma,88,51,16
2025-01-04,97,25,Rod Wave,94,16,11
2025-01-04,98,Popular,Ariana Grande,73,53,5
2025-01-04,99,Think I'm In Love With You,Chris Stapleton,89,49,34
2025-01-04,100,Peekaboo,Kendrick Lamar Featuring AzChike,71,13,5
2025-01-11,1,Die With A Smile,Lady Gaga & Bruno Mars,17,1,20
2025-01-11,2,A Bar Song (Tipsy),Shaboozey,24,1,38
2025-01-11,3,Birds Of A Feather,Billie Eilish,28,2,33
2025-01-11,4,Lose Control,Teddy Swims,0,1,72
2025-01-11,5,APT.,ROSE & Bruno Mars,34,5,11
2025-01-11,6,That's So True,Gracie Abrams,33,6,11
2025-01-11,7,Luther,Kendrick Lamar & SZA,27,3,6
2025-01-11,8,I Had Some Help,Post Malone Featuring Morgan Wallen,47,1,34
2025-01-11,9,Espresso,Sabrina Carpenter,46,3,38
2025-01-11,10,Taste,Sabrina Carpenter,41,2,19
2025-01-11,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,32,2,6
2025-01-11,12,Beautiful Things,Benson Boone,0,2,49
2025-01-11,13,Love Somebody,Morgan Wallen,53,1,11
2025-01-11,14,Too Sweet,Hozier,0,1,40
2025-01-11,15,Timeless,The Weeknd & Playboi Carti,51,3,14
2025-01-11,16,Squabble Up,Kendrick Lamar,44,1,6
2025-01-11,17,"Good Luck, Babe!",Chappell Roan,0,4,38
2025-01-11,18,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",52,10,10
2025-01-11,19,Stargazing,Myles Smith,0,19,33
2025-01-11,20,Not Like Us,Kendrick Lamar,0,1,34
2025-01-11,21,Whatchu Kno About Me,GloRilla & Sexyy Red,54,17,12
2025-01-11,22,30 For 30,SZA With Kendrick Lamar,45,22,2
2025-01-11,23,High Road,Koe Wetzel & Jessie Murph,57,22,30
2025-01-11,24,Who,Jimin,0,12,23
2025-01-11,25,Messy,Lola Young,61,25,5
2025-01-11,26,Please Please Please,Sabrina Carpenter,0,1,28
2025-01-11,27,Smile,Morgan Wallen,0,27,1
2025-01-11,28,I Am Not Okay,Jelly Roll,0,14,28
2025-01-11,29,BMF,SZA,55,29,2
2025-01-11,30,Million Dollar Baby,Tommy Richman,0,2,32
2025-01-11,31,Wind Up Missin' You,Tucker Wetmore,65,31,40
2025-01-11,32,Bed Chem,Sabrina Carpenter,60,14,19
2025-01-11,33,Sailor Song,Gigi Perez,58,22,20
2025-01-11,34,Lies Lies Lies,Morgan Wallen,0,7,22
2025-01-11,35,Wildflower,Billie Eilish,0,17,29
2025-01-11,36,Pink Pony Club,Chappell Roan,67,26,29
2025-01-11,37,Like Him,"Tyler, The Creator Featuring Lola Young",66,29,10
2025-01-11,38,I Never Lie,Zach Top,72,38,15
2025-01-11,39,Liar,Jelly Roll,84,39,14
2025-01-11,40,I'm Gonna Love You,Cody Johnson & Carrie Underwood,87,40,14
2025-01-11,41,Scorsese Baby Daddy,SZA,63,41,2
2025-01-11,42,Tu Boda,Oscar Maydon & Fuerza Regida,68,22,11
2025-01-11,43,"I Love You, I'm Sorry",Gracie Abrams,0,19,21
2025-01-11,44,It's Ok I'm Ok,Tate McRae,76,20,16
2025-01-11,45,4x4xU,Lainey Wilson,94,45,8
2025-01-11,46,No One Noticed,The Marias,74,22,14
2025-01-11,47,Good News,Shaboozey,95,47,6
2025-01-11,48,Indigo,Sam Barber Featuring Avery Anna,77,48,4
2025-01-11,49,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,75,44,6
2025-01-11,50,Loco,Neton Vega,0,50,1
2025-01-11,51,Drive,SZA,59,51,2
2025-01-11,52,Que Pasaria...,Rauw Alejandro & Bad Bunny,83,34,7
2025-01-11,53,Think I'm In Love With You,Chris Stapleton,99,49,35
2025-01-11,54,Guy For That,Post Malone Featuring Luke Combs,0,17,20
2025-01-11,55,Dancing In The Flames,The Weeknd,91,14,16
2025-01-11,56,Hey Now,Kendrick Lamar Featuring Dody6,82,5,6
2025-01-11,57,Help Me,Real Boston Richey,86,47,24
2025-01-11,58,Residuals,Chris Brown,85,58,18
2025-01-11,59,Am I Okay?,Megan Moroney,0,59,17
2025-01-11,60,Diamond Boy (DTM),SZA,62,60,2
2025-01-11,61,I Ain't Sayin',Jordan Davis,0,61,2
2025-01-11,62,What Do I Do,SZA,64,62,2
2025-01-11,63,Heart Of A Woman,Summer Walker,93,57,10
2025-01-11,64,Another Life,SZA,73,64,2
2025-01-11,65,Bad Dreams,Teddy Swims,0,65,5
2025-01-11,66,No Pole,Don Toliver,0,66,9
2025-01-11,67,Empty Out Your Pockets,Juice WRLD,92,56,5
2025-01-11,68,Dos Dias,Tito Double P & Peso Pluma,96,51,17
2025-01-11,69,Close To You,Gracie Abrams,0,49,20
2025-01-11,70,Popular,Ariana Grande,98,53,6
2025-01-11,71,Crybaby,SZA,70,70,2
2025-01-11,72,Wacced Out Murals,Kendrick Lamar,90,4,6
2025-01-11,73,Diet Pepsi,Addison Rae,0,54,14
2025-01-11,74,Apple,Charli xcx,0,51,20
2025-01-11,75,Boys Back Home,Dylan Marlowe & Dylan Scott,0,75,1
2025-01-11,76,25,Rod Wave,97,16,12
2025-01-11,77,Kitchen,SZA,71,71,2
2025-01-11,78,Peekaboo,Kendrick Lamar Featuring AzChike,100,13,6
2025-01-11,79,Burning Down,Alex Warren,0,69,5
2025-01-11,80,Disease,Lady Gaga,0,27,8
2025-01-11,81,Shake Dat Ass (Twerk Song),BossMan Dlow,0,54,14
2025-01-11,82,Gang Baby,NLE Choppa,0,82,5
2025-01-11,83,Khe?,Rauw Alejandro & Romeo Santos,0,60,5
2025-01-11,84,Brokey,Latto,0,84,4
2025-01-11,85,Rosones,Tito Double P,0,85,3
2025-01-11,86,Juno,Sabrina Carpenter,0,22,16
2025-01-11,87,Nadie,Tito Double P,0,87,1
2025-01-11,88,What Is This Feeling?,Ariana Grande & Cynthia Erivo,0,62,5
2025-01-11,89,El Club,Bad Bunny,0,66,2
2025-01-11,90,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",0,11,5
2025-01-11,91,Pitorro de Coco,Bad Bunny,0,91,1
2025-01-11,92,The Largest,BigXthaPlug,0,92,2
2025-01-11,93,Wondering Why,The Red Clay Strays,0,71,18
2025-01-11,94,Ends Of The Earth,Ty Myers,0,94,1
2025-01-11,95,Chill Baby,SZA,80,80,2
2025-01-11,96,Holy Smokes,Bailey Zimmerman,0,54,7
2025-01-11,97,High Road,Zach Bryan,0,29,5
2025-01-11,98,On One Tonight,Gunna,0,54,7
2025-01-11,99,St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",0,7,9
2025-01-11,100,Cowboy Songs,George Birge,0,100,1
2025-01-18,1,Die With A Smile,Lady Gaga & Bruno Mars,1,1,21
2025-01-18,2,A Bar Song (Tipsy),Shaboozey,2,1,39
2025-01-18,3,Birds Of A Feather,Billie Eilish,3,2,34
2025-01-18,4,Smile,Morgan Wallen,27,4,2
2025-01-18,5,APT.,ROSE & Bruno Mars,5,5,12
2025-01-18,6,Lose Control,Teddy Swims,4,1,73
2025-01-18,7,Luther,Kendrick Lamar & SZA,7,3,7
2025-01-18,8,That's So True,Gracie Abrams,6,6,12
2025-01-18,9,I Had Some Help,Post Malone Featuring Morgan Wallen,8,1,35
2025-01-18,10,Espresso,Sabrina Carpenter,9,3,39
2025-01-18,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,11,2,7
2025-01-18,12,Taste,Sabrina Carpenter,10,2,20
2025-01-18,13,Love Somebody,Morgan Wallen,13,1,12
2025-01-18,14,Beautiful Things,Benson Boone,12,2,50
2025-01-18,15,Timeless,The Weeknd & Playboi Carti,15,3,15
2025-01-18,16,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future",0,16,1
2025-01-18,17,Too Sweet,Hozier,14,1,41
2025-01-18,18,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",18,10,11
2025-01-18,19,Squabble Up,Kendrick Lamar,16,1,7
2025-01-18,20,Stargazing,Myles Smith,19,19,34
2025-01-18,21,"Good Luck, Babe!",Chappell Roan,17,4,39
2025-01-18,22,30 For 30,SZA With Kendrick Lamar,22,22,3
2025-01-18,23,Not Like Us,Kendrick Lamar,20,1,35
2025-01-18,24,Messy,Lola Young,25,24,6
2025-01-18,25,High Road,Koe Wetzel & Jessie Murph,23,22,31
2025-01-18,26,Whatchu Kno About Me,GloRilla & Sexyy Red,21,17,13
2025-01-18,27,Nuevayol,Bad Bunny,0,27,1
2025-01-18,28,Baile Inolvidable,Bad Bunny,0,28,1
2025-01-18,29,Tweaker,Gelo,0,29,1
2025-01-18,30,Sailor Song,Gigi Perez,33,22,21
2025-01-18,31,Wind Up Missin' You,Tucker Wetmore,31,31,41
2025-01-18,32,Please Please Please,Sabrina Carpenter,26,1,29
2025-01-18,33,I Am Not Okay,Jelly Roll,28,14,29
2025-01-18,34,BMF,SZA,29,29,3
2025-01-18,35,Bed Chem,Sabrina Carpenter,32,14,20
2025-01-18,36,Voy A Llevarte Pa PR,Bad Bunny,0,36,1
2025-01-18,37,El Club,Bad Bunny,89,37,3
2025-01-18,38,DTMF,Bad Bunny,0,38,1
2025-01-18,39,Who,Jimin,24,12,24
2025-01-18,40,Million Dollar Baby,Tommy Richman,30,2,33
2025-01-18,41,Wildflower,Billie Eilish,35,17,30
2025-01-18,42,Lies Lies Lies,Morgan Wallen,34,7,23
2025-01-18,43,Velda,"Bad Bunny, Omar Courtz & Dei V",0,43,1
2025-01-18,44,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave,0,44,1
2025-01-18,45,Perfumito Nuevo,Bad Bunny & RaiNao,0,45,1
2025-01-18,46,Like Him,"Tyler, The Creator Featuring Lola Young",37,29,11
2025-01-18,47,Pink Pony Club,Chappell Roan,36,26,30
2025-01-18,48,No One Noticed,The Marias,46,22,15
2025-01-18,49,Liar,Jelly Roll,39,39,15
2025-01-18,50,Outfit,Lil Baby & 21 Savage,0,50,1
2025-01-18,51,Stuff,Lil Baby Featuring Travis Scott,0,51,1
2025-01-18,52,Weltita,Bad Bunny & Chuwi,0,52,1
2025-01-18,53,Redbone,Lil Baby & GloRilla,0,53,1
2025-01-18,54,EOO,Bad Bunny,0,54,1
2025-01-18,55,I Never Lie,Zach Top,38,38,16
2025-01-18,56,I'm Gonna Love You,Cody Johnson & Carrie Underwood,40,40,15
2025-01-18,57,F U 2x,Lil Baby,0,57,1
2025-01-18,58,4x4xU,Lainey Wilson,45,45,9
2025-01-18,59,Ketu Tecre,Bad Bunny,0,59,1
2025-01-18,60,Pitorro de Coco,Bad Bunny,91,60,2
2025-01-18,61,Indigo,Sam Barber Featuring Avery Anna,48,48,5
2025-01-18,62,Loco,Neton Vega,50,50,2
2025-01-18,63,It's Ok I'm Ok,Tate McRae,44,20,17
2025-01-18,64,Good News,Shaboozey,47,47,7
2025-01-18,65,Listen Up,Lil Baby,0,65,1
2025-01-18,66,Kloufrens,Bad Bunny,0,66,1
2025-01-18,67,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,49,44,7
2025-01-18,68,Tu Boda,Oscar Maydon & Fuerza Regida,42,22,12
2025-01-18,69,Bokete,Bad Bunny,0,69,1
2025-01-18,70,Scorsese Baby Daddy,SZA,41,41,3
2025-01-18,71,I Promise,Lil Baby,0,71,1
2025-01-18,72,Que Pasaria...,Rauw Alejandro & Bad Bunny,52,34,8
2025-01-18,73,Due 4A Win,Lil Baby,0,73,1
2025-01-18,74,So Sorry,Lil Baby,0,74,1
2025-01-18,75,Think I'm In Love With You,Chris Stapleton,53,49,36
2025-01-18,76,Denial Is A River,Doechii,0,76,1
2025-01-18,77,Turista,Bad Bunny,0,77,1
2025-01-18,78,Guy For That,Post Malone Featuring Luke Combs,54,17,21
2025-01-18,79,Residuals,Chris Brown,58,58,19
2025-01-18,80,No Pole,Don Toliver,66,66,10
2025-01-18,81,I Ain't Sayin',Jordan Davis,61,61,3
2025-01-18,82,Am I Okay?,Megan Moroney,59,59,18
2025-01-18,83,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta,0,83,1
2025-01-18,84,Help Me,Real Boston Richey,57,47,25
2025-01-18,85,Bad Dreams,Teddy Swims,65,65,6
2025-01-18,86,Stiff Gang,Lil Baby,0,86,1
2025-01-18,87,Dancing In The Flames,The Weeknd,55,14,17
2025-01-18,88,Boys Back Home,Dylan Marlowe & Dylan Scott,75,75,2
2025-01-18,89,Heart Of A Woman,Summer Walker,63,57,11
2025-01-18,90,Peekaboo,Kendrick Lamar Featuring AzChike,78,13,7
2025-01-18,91,Drive,SZA,51,51,3
2025-01-18,92,Popular,Ariana Grande,70,53,7
2025-01-18,93,Hey Now,Kendrick Lamar Featuring Dody6,56,5,7
2025-01-18,94,Lo Que Le Paso A Hawaii,Bad Bunny,0,94,1
2025-01-18,95,La Mudanza,Bad Bunny,0,95,1
2025-01-18,96,Close To You,Gracie Abrams,69,49,21
2025-01-18,97,Diet Pepsi,Addison Rae,73,54,15
2025-01-18,98,Burning Down,Alex Warren,79,69,6
2025-01-18,99,Free Promo,Lil Baby,0,99,1
2025-01-18,100,Dos Dias,Tito Double P & Peso Pluma,68,51,18
2025-01-25,1,Die With A Smile,Lady Gaga & Bruno Mars,1,1,22
2025-01-25,2,DTMF,Bad Bunny,38,2,2
2025-01-25,3,Baile Inolvidable,Bad Bunny,28,3,2
2025-01-25,4,A Bar Song (Tipsy),Shaboozey,2,1,40
2025-01-25,5,APT.,ROSE & Bruno Mars,5,5,13
2025-01-25,6,Luther,Kendrick Lamar & SZA,7,3,8
2025-01-25,7,Birds Of A Feather,Billie Eilish,3,2,35
2025-01-25,8,Nuevayol,Bad Bunny,27,8,2
2025-01-25,9,Lose Control,Teddy Swims,6,1,74
2025-01-25,10,That's So True,Gracie Abrams,8,6,13
2025-01-25,11,I Had Some Help,Post Malone Featuring Morgan Wallen,9,1,36
2025-01-25,12,Taste,Sabrina Carpenter,12,2,21
2025-01-25,13,Espresso,Sabrina Carpenter,10,3,40
2025-01-25,14,Love Somebody,Morgan Wallen,13,1,13
2025-01-25,15,TV Off,Kendrick Lamar Featuring Lefty Gunplay,11,2,8
2025-01-25,16,Smile,Morgan Wallen,4,4,3
2025-01-25,17,Voy A Llevarte Pa PR,Bad Bunny,36,17,2
2025-01-25,18,Beautiful Things,Benson Boone,14,2,51
2025-01-25,19,Timeless,The Weeknd & Playboi Carti,15,3,16
2025-01-25,20,Squabble Up,Kendrick Lamar,19,1,8
2025-01-25,21,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",18,10,12
2025-01-25,22,Too Sweet,Hozier,17,1,42
2025-01-25,23,Velda,"Bad Bunny, Omar Courtz & Dei V",43,23,2
2025-01-25,24,EOO,Bad Bunny,54,24,2
2025-01-25,25,Stargazing,Myles Smith,20,19,35
2025-01-25,26,30 For 30,SZA With Kendrick Lamar,22,22,4
2025-01-25,27,El Club,Bad Bunny,37,27,4
2025-01-25,28,"Good Luck, Babe!",Chappell Roan,21,4,40
2025-01-25,29,Messy,Lola Young,24,24,7
2025-01-25,30,Tweaker,GELO,29,29,2
2025-01-25,31,Perfumito Nuevo,Bad Bunny & RaiNao,45,31,2
2025-01-25,32,Weltita,Bad Bunny & Chuwi,52,32,2
2025-01-25,33,Not Like Us,Kendrick Lamar,23,1,36
2025-01-25,34,High Road,Koe Wetzel & Jessie Murph,25,22,32
2025-01-25,35,BMF,SZA,34,29,4
2025-01-25,36,Bed Chem,Sabrina Carpenter,35,14,21
2025-01-25,37,Whatchu Kno About Me,GloRilla & Sexyy Red,26,17,14
2025-01-25,38,Ketu Tecre,Bad Bunny,59,38,2
2025-01-25,39,Sailor Song,Gigi Perez,30,22,22
2025-01-25,40,Kloufrens,Bad Bunny,66,40,2
2025-01-25,41,Who,Jimin,39,12,25
2025-01-25,42,Bokete,Bad Bunny,69,42,2
2025-01-25,43,I Am Not Okay,Jelly Roll,33,14,30
2025-01-25,44,Wind Up Missin' You,Tucker Wetmore,31,31,42
2025-01-25,45,Turista,Bad Bunny,77,45,2
2025-01-25,46,No One Noticed,The Marias,48,22,16
2025-01-25,47,Please Please Please,Sabrina Carpenter,32,1,30
2025-01-25,48,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta,83,48,2
2025-01-25,49,Wildflower,Billie Eilish,41,17,31
2025-01-25,50,Pitorro de Coco,Bad Bunny,60,50,3
2025-01-25,51,La Mudanza,Bad Bunny,95,51,2
2025-01-25,52,Liar,Jelly Roll,49,39,16
2025-01-25,53,I Never Lie,Zach Top,55,38,17
2025-01-25,54,Like Him,"Tyler, The Creator Featuring Lola Young",46,29,12
2025-01-25,55,Pink Pony Club,Chappell Roan,47,26,31
2025-01-25,56,Loco,Neton Vega,62,50,3
2025-01-25,57,Que Pasaria...,Rauw Alejandro & Bad Bunny,72,34,9
2025-01-25,58,Indigo,Sam Barber Featuring Avery Anna,61,48,6
2025-01-25,59,Are You Even Real,Teddy Swims & GIVEON,0,59,1
2025-01-25,60,I'm Gonna Love You,Cody Johnson & Carrie Underwood,56,40,16
2025-01-25,61,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future",16,16,2
2025-01-25,62,Lo Que Le Paso A Hawaii,Bad Bunny,94,62,2
2025-01-25,63,4x4xU,Lainey Wilson,58,45,10
2025-01-25,64,Bad Dreams,Teddy Swims,85,64,7
2025-01-25,65,Denial Is A River,Doechii,76,65,2
2025-01-25,66,Tu Boda,Oscar Maydon & Fuerza Regida,68,22,13
2025-01-25,67,Good News,Shaboozey,64,47,8
2025-01-25,68,Think I'm In Love With You,Chris Stapleton,75,49,37
2025-01-25,69,Guy For That,Post Malone Featuring Luke Combs,78,17,22
2025-01-25,70,I Ain't Sayin',Jordan Davis,81,61,4
2025-01-25,71,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,67,44,8
2025-01-25,72,No Pole,Don Toliver,80,66,11
2025-01-25,73,It's Ok I'm Ok,Tate McRae,63,20,18
2025-01-25,74,Am I Okay?,Megan Moroney,82,59,19
2025-01-25,75,Scorsese Baby Daddy,SZA,70,41,4
2025-01-25,76,Residuals,Chris Brown,79,58,20
2025-01-25,77,Heart Of A Woman,Summer Walker,89,57,12
2025-01-25,78,Help Me,Real Boston Richey,84,47,26
2025-01-25,79,Peekaboo,Kendrick Lamar Featuring AzChike,90,13,8
2025-01-25,80,Diet Pepsi,Addison Rae,97,54,16
2025-01-25,81,Popular,Ariana Grande,92,53,8
2025-01-25,82,Boys Back Home,Dylan Marlowe & Dylan Scott,88,75,3
2025-01-25,83,Stuff,Lil Baby Featuring Travis Scott,51,51,2
2025-01-25,84,Rosones,Tito Double P,0,84,4
2025-01-25,85,Nadie,Tito Double P,0,85,2
2025-01-25,86,Khe?,Rauw Alejandro & Romeo Santos,0,60,6
2025-01-25,87,Dos Dias,Tito Double P & Peso Pluma,100,51,19
2025-01-25,88,Hey Now,Kendrick Lamar Featuring Dody6,93,5,8
2025-01-25,89,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave,44,44,2
2025-01-25,90,Burning Down,Alex Warren,98,69,7
2025-01-25,91,Bigger Houses,Dan + Shay,0,91,1
2025-01-25,92,The Largest,BigXthaPlug,0,92,3
2025-01-25,93,Drive,SZA,91,51,4
2025-01-25,94,F U 2x,Lil Baby,57,57,2
2025-01-25,95,25,Rod Wave,0,16,13
2025-01-25,96,Dancing In The Flames,The Weeknd,87,14,18
2025-01-25,97,The Days,CHRYSTAL,0,97,1
2025-01-25,98,Outfit,Lil Baby & 21 Savage,50,50,2
2025-01-25,99,Forever Young,"David Guetta, Alphaville & Ava Max",0,99,1
2025-01-25,100,Headlock,Imogen Heap,0,100,1
2025-02-01,1,Die With A Smile,Lady Gaga & Bruno Mars,1,1,23
2025-02-01,2,DTMF,Bad Bunny,2,2,3
2025-02-01,3,APT.,ROSE & Bruno Mars,5,3,14
2025-02-01,4,A Bar Song (Tipsy),Shaboozey,4,1,41
2025-02-01,5,Luther,Kendrick Lamar & SZA,6,3,9
2025-02-01,6,Birds Of A Feather,Billie Eilish,7,2,36
2025-02-01,7,Lose Control,Teddy Swims,9,1,75
2025-02-01,8,That's So True,Gracie Abrams,10,6,14
2025-02-01,9,Baile Inolvidable,Bad Bunny,3,3,3
2025-02-01,10,Love Somebody,Morgan Wallen,14,1,14
2025-02-01,11,Espresso,Sabrina Carpenter,13,3,41
2025-02-01,12,I Had Some Help,Post Malone Featuring Morgan Wallen,11,1,37
2025-02-01,13,TV Off,Kendrick Lamar Featuring Lefty Gunplay,15,2,9
2025-02-01,14,Taste,Sabrina Carpenter,12,2,22
2025-02-01,15,Nuevayol,Bad Bunny,8,8,3
2025-02-01,16,Beautiful Things,Benson Boone,18,2,52
2025-02-01,17,Timeless,The Weeknd & Playboi Carti,19,3,17
2025-02-01,18,Smile,Morgan Wallen,16,4,4
2025-02-01,19,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",21,10,13
2025-02-01,20,Too Sweet,Hozier,22,1,43
